Requirement/Skill,Weight,SelfScore
"Analyze large datasets (public/internal/clinical)",3,2
"Data mining techniques",3,2
"Machine learning model development",3,1
"Programming proficiency",3,1
"ML frameworks experience",3,1
"Data visualization tools",2,1
"Identify protein targets (immunotherapy focus)",3,2
"Drug optimization opportunity identification",3,2
"Clinical trial data analysis",3,1
"Bioinformatics/computational biology methods",3,2
"Interpreting and communicating results",3,2
"Cross-functional collaboration",2,2
"Advanced degree (MSc/PhD, relevant field)",3,2
"Years of experience (ML/data mining, clinical data focus)",3,2
"Immunotherapy domain knowledge",3,2
"Communication skills",3,2
"Containerization (nice to have)",1,1
"Data security/compliance (nice to have)",1,1
"Agile/version control (nice to have)",1,2
"Values/culture fit",2,2
"Passion for impact, learning, professional growth",1,2
"Work location/logistics",3,2
